Query_id, Rank, Doc_id, Score, Relevant/NRelevant, Precision, Recall
1, 1, CACM-1827, 27.105171805, 0, 0.0, 0.0
1, 2, CACM-1410, 25.9900680292, 1, 0.5, 0.2
1, 3, CACM-1938, 25.963340878, 0, 0.333333333333, 0.2
1, 4, CACM-2344, 24.7689090251, 0, 0.25, 0.2
1, 5, CACM-2319, 23.7873994598, 0, 0.2, 0.2
1, 6, CACM-2535, 23.4514524832, 0, 0.166666666667, 0.2
1, 7, CACM-1657, 23.2915757434, 0, 0.142857142857, 0.2
1, 8, CACM-1908, 22.6794453554, 0, 0.125, 0.2
1, 9, CACM-2218, 22.4286964896, 0, 0.111111111111, 0.2
1, 10, CACM-1605, 22.3320906284, 1, 0.2, 0.4
1, 11, CACM-1572, 22.0792446937, 1, 0.272727272727, 0.6
1, 12, CACM-1752, 20.6374974822, 0, 0.25, 0.6
1, 13, CACM-2378, 20.6150936118, 0, 0.230769230769, 0.6
1, 14, CACM-2054, 20.4177508116, 0, 0.214285714286, 0.6
1, 15, CACM-2219, 20.1442089522, 0, 0.2, 0.6
1, 16, CACM-1844, 19.5594818622, 0, 0.1875, 0.6
1, 17, CACM-2151, 19.4584704258, 0, 0.176470588235, 0.6
1, 18, CACM-2379, 19.41611417, 0, 0.166666666667, 0.6
1, 19, CACM-2371, 19.1619606534, 0, 0.157894736842, 0.6
1, 20, CACM-1519, 18.9214220804, 0, 0.15, 0.6
1, 21, CACM-2629, 18.9051448995, 0, 0.142857142857, 0.6
1, 22, CACM-1506, 18.8856984653, 0, 0.136363636364, 0.6
1, 23, CACM-1523, 18.7420622321, 0, 0.130434782609, 0.6
1, 24, CACM-2947, 18.643472967, 0, 0.125, 0.6
1, 25, CACM-2951, 18.1092387094, 0, 0.12, 0.6
1, 26, CACM-2950, 18.0506539653, 0, 0.115384615385, 0.6
1, 27, CACM-2357, 18.0089638246, 0, 0.111111111111, 0.6
1, 28, CACM-1591, 18.0088300987, 0, 0.107142857143, 0.6
1, 29, CACM-2632, 17.9763869372, 0, 0.103448275862, 0.6
1, 30, CACM-2424, 17.9192610613, 0, 0.1, 0.6
1, 31, CACM-2500, 17.8260013618, 0, 0.0967741935484, 0.6
1, 32, CACM-2380, 17.7979447855, 0, 0.09375, 0.6
1, 33, CACM-2838, 17.7407650685, 0, 0.0909090909091, 0.6
1, 34, CACM-1033, 17.6819988058, 0, 0.0882352941176, 0.6
1, 35, CACM-3048, 17.4304928937, 0, 0.0857142857143, 0.6
1, 36, CACM-2501, 17.1142119194, 0, 0.0833333333333, 0.6
1, 37, CACM-2375, 17.0838298237, 0, 0.0810810810811, 0.6
1, 38, CACM-1805, 17.0634761485, 0, 0.0789473684211, 0.6
1, 39, CACM-1071, 17.0273278148, 0, 0.0769230769231, 0.6
1, 40, CACM-2542, 16.9991036532, 0, 0.075, 0.6
1, 41, CACM-2669, 16.8886169037, 0, 0.0731707317073, 0.6
1, 42, CACM-1487, 16.8747377784, 0, 0.0714285714286, 0.6
1, 43, CACM-1544, 16.7999904215, 0, 0.0697674418605, 0.6
1, 44, CACM-1542, 16.7836078247, 0, 0.0681818181818, 0.6
1, 45, CACM-1173, 16.7018699881, 0, 0.0666666666667, 0.6
1, 46, CACM-0971, 16.6586032001, 0, 0.0652173913043, 0.6
1, 47, CACM-0585, 16.653665072, 0, 0.063829787234, 0.6
1, 48, CACM-1719, 16.444496633, 0, 0.0625, 0.6
1, 49, CACM-1161, 16.3697469463, 0, 0.0612244897959, 0.6
1, 50, CACM-1391, 16.3258860098, 0, 0.06, 0.6
1, 51, CACM-2036, 16.2869764871, 0, 0.0588235294118, 0.6
1, 52, CACM-0637, 16.221923599, 0, 0.0576923076923, 0.6
1, 53, CACM-1750, 16.1658644696, 0, 0.0566037735849, 0.6
1, 54, CACM-1749, 16.0647245567, 0, 0.0555555555556, 0.6
1, 55, CACM-2439, 16.0097545513, 0, 0.0545454545455, 0.6
1, 56, CACM-3069, 15.8887586358, 0, 0.0535714285714, 0.6
1, 57, CACM-1393, 15.8258818651, 0, 0.0526315789474, 0.6
1, 58, CACM-2767, 15.8149796823, 0, 0.051724137931, 0.6
1, 59, CACM-2920, 15.7631483021, 0, 0.0508474576271, 0.6
1, 60, CACM-3127, 15.7425068975, 0, 0.05, 0.6
1, 61, CACM-1225, 15.7345480603, 0, 0.0491803278689, 0.6
1, 62, CACM-1526, 15.5970954029, 0, 0.0483870967742, 0.6
1, 63, CACM-3153, 15.4663745048, 0, 0.047619047619, 0.6
1, 64, CACM-2740, 15.380860463, 0, 0.046875, 0.6
1, 65, CACM-1264, 15.3370490785, 0, 0.0461538461538, 0.6
1, 66, CACM-2017, 15.3271450162, 0, 0.0454545454545, 0.6
1, 67, CACM-2522, 15.3115903351, 0, 0.044776119403, 0.6
1, 68, CACM-2358, 15.3010097652, 1, 0.0588235294118, 0.8
1, 69, CACM-3112, 15.2937380468, 0, 0.0579710144928, 0.8
1, 70, CACM-1226, 15.1954378466, 0, 0.0571428571429, 0.8
1, 71, CACM-1885, 15.1172242911, 0, 0.056338028169, 0.8
1, 72, CACM-2946, 15.0599034489, 0, 0.0555555555556, 0.8
1, 73, CACM-2092, 15.0088676198, 0, 0.0547945205479, 0.8
1, 74, CACM-2003, 14.9639810067, 0, 0.0540540540541, 0.8
